,vowel,sex,f0,form1,form2,form3,form4
0,a,1,204.08163265306123,315.94893650000125,1263.413590376641,1276.5377402456973,2647.0087296535116
1,a,1,196.07843137254903,242.7124103279679,805.8820723781231,1374.2986155057106,2839.2181117793702
2,a,1,196.07843137254903,217.56898884790715,1028.162184191901,1497.574134359124,2940.1195998415815
3,a,1,192.30769230769232,231.209209254129,1085.1028419192894,1496.7664170499356,2867.654231508846
4,a,1,192.30769230769232,234.59462775377526,1034.1599457425707,1475.1869390598536,2965.366175366555
5,a,1,188.67924528301887,267.1047559756028,1195.8659345617277,1516.7414425929148,2986.203091013233
6,a,1,188.67924528301887,237.78715151734707,1136.2714324413778,1503.0674773581595,3084.6778169552767
7,a,1,192.30769230769232,215.92703452955297,1102.6480061543305,1390.363725197617,2919.306906091036
8,a,1,192.30769230769232,231.15139826188445,1074.7409903638747,1476.7471508332546,2976.4853569366583
9,a,1,200.0,249.5660624801094,1066.8685430962923,1463.8716026706902,2744.6290224964496
10,e,1,103.09278350515464,364.20227984560324,1179.4081940519816,1841.391176756578,2447.707040443386
11,e,1,192.30769230769232,238.9446810193807,751.8366582252063,1845.7192518191328,2682.646145193777
12,e,1,192.30769230769232,221.53598355945638,854.9040097147682,1758.9485695841156,2895.5511943938395
13,e,1,192.30769230769232,209.61923867934783,786.4839294068944,1750.8226477352562,2750.3901376903236
14,e,1,192.30769230769232,220.2648755111535,891.2666471526792,1743.4011118828162,2989.2409983384046
15,e,1,188.67924528301887,231.82623472588236,829.9124386157704,1737.479829305698,2670.885836053503
16,e,1,188.67924528301887,235.01412733540707,809.052076096538,1711.119343508247,2837.917142659917
17,e,1,192.30769230769232,226.72652282709203,903.5122415770344,1850.8774252163437,2585.1642764341927
18,e,1,188.67924528301887,234.84560893551836,859.5864551476445,1761.7761173130314,2868.011753525751
19,e,1,196.07843137254903,230.9128489204723,865.0854279937486,1717.1237497271168,2583.678305987939
20,i,1,208.33333333333334,254.25281431670038,529.3282551040661,2636.7844406607514,2732.0156556929533
21,i,1,204.08163265306123,218.5422799507564,548.787053006142,2206.9848616177533,2798.954115802263
22,i,1,192.30769230769232,204.02544161738408,702.9164835746219,2349.150059054595,2755.507374329043
23,i,1,192.30769230769232,202.74352949513684,661.0710981101038,2375.693385892876,2862.292432174543
24,i,1,196.07843137254903,203.733968668033,677.8351633010102,2296.2541917721123,2791.7906420847153
25,i,1,192.30769230769232,204.07571260905777,653.8571344536615,2370.073224068523,2866.926356646277
26,i,1,192.30769230769232,213.01169042946725,573.6463312747525,2040.2901301371642,2849.635990839867
27,i,1,196.07843137254903,206.8930206863578,585.887298940103,1964.9562223304163,2886.6268155354815
28,i,1,200.0,218.12692739201188,503.7245122120354,2183.1230944684803,2873.310138412951
29,i,1,200.0,212.98907972682755,582.8121799733486,2190.743657399699,2835.7876075404056
30,o,1,204.08163265306123,266.6134617434892,604.1117672033902,1094.5150462015486,3191.621111887468
31,o,1,192.30769230769232,207.71251519588554,625.913300298176,1127.4585136203775,2889.5408549677936
32,o,1,188.67924528301887,0.0,0.0,580.0788913310868,1084.3158480860304
33,o,1,188.67924528301887,0.0,0.0,561.7038578825917,971.7400252290424
34,o,1,188.67924528301887,224.7958619982365,633.2860465208095,1318.800003284978,3038.9372021076256
35,o,1,188.67924528301887,213.9352117449951,628.3736931942382,1261.153975511678,3195.4410173486517
36,o,1,185.1851851851852,238.21523862231595,638.9269254364408,1304.9060368185433,2989.635106867703
37,o,1,192.30769230769232,107.64763400649198,609.347906062635,1047.2473127448804,2997.0038500454752
38,o,1,192.30769230769232,233.52915012150623,654.1843414832648,1283.5640188996117,2978.441877531096
39,o,1,196.07843137254903,225.87465676448022,648.3045989270681,1199.636078279381,3015.678005129613
40,u,1,208.33333333333334,291.8875658299655,546.7364617895872,1549.4762950669206,2774.7037689385616
41,u,1,200.0,226.05176920144203,504.22202813920285,1735.2897078542417,2764.0058319301183
42,u,1,188.67924528301887,229.5494077995057,590.5375311313334,1776.3671214842616,2719.294104503911
43,u,1,192.30769230769232,218.1257712436472,558.5896635976275,1788.667003127281,2771.725772027063
44,u,1,200.0,218.77761061228713,530.8066650664849,1745.8984317943725,2697.1947838787837
45,u,1,192.30769230769232,215.69120407420542,525.2340292522763,1811.5722650969276,2801.1594812546377
46,u,1,185.1851851851852,211.68001458647282,603.9043133762499,1768.2121601988808,2799.800551393622
47,u,1,200.0,216.39394878645612,515.0187745456185,1778.1049521284283,2720.878327476058
48,u,1,200.0,206.98815412269977,647.1310771904284,1640.5155440586434,2518.0317094898533
49,u,1,200.0,206.04001171371652,473.75260186591373,1741.019777877241,2738.7469689746954
50,y,1,204.08163265306123,0.0,382.44133641487326,1434.4446302787096,2183.091206119334
51,y,1,188.67924528301887,301.555272479048,450.49085042081106,2115.201333241413,2966.3926319494135
52,y,1,188.67924528301887,277.1991634679782,486.6977449632075,2137.913103609684,2959.0667366653756
53,y,1,188.67924528301887,243.0415995442241,550.1094724805176,2004.5320921380362,2905.910125412511
54,y,1,188.67924528301887,0.0,0.0,351.34842166899654,2240.517863336764
55,y,1,192.30769230769232,254.1196669147031,491.70392285633454,2022.998084996598,2993.34190153587
56,y,1,188.67924528301887,238.99165036226188,515.4987263453322,2151.5141394382836,2946.02034941568
57,y,1,188.67924528301887,204.40202382577272,536.7572611230921,1933.2100313097956,3078.7542457026652
58,y,1,188.67924528301887,251.1862019821952,500.4106231169407,2032.2116160873481,2931.647031857336
59,y,1,196.07843137254903,222.94720231663138,552.9496408077385,2037.5473170690102,3057.235065030986
60,a,0,138.88888888888889,0.0,0.0,648.9107628423396,1103.3309912135335
61,a,0,135.13513513513513,187.76167575622236,753.7730160622019,1103.338206789386,2554.021581447214
62,a,0,135.13513513513513,0.0,643.1518315245208,1083.5353859961,2320.51632598719
63,a,0,138.88888888888889,90.2358805499359,706.3852486662149,1192.4357674162393,2663.6162270006325
64,a,0,158.73015873015873,0.0,0.0,625.7234019012251,1252.6248170009146
65,a,0,147.05882352941177,0.0,0.0,585.8850555616749,1224.86730436992
66,a,0,147.05882352941177,57.147869507677306,547.7906674604984,1226.3941043362915,2741.215155365288
67,a,0,142.85714285714286,250.25006419545534,896.3759213087698,1150.7117139576017,2714.9554270311532
68,a,0,142.85714285714286,272.38807837924986,858.4667320265861,1283.8948920737882,2603.332138242079
69,a,0,138.88888888888889,202.180767271468,758.0603971287045,1135.7558844217497,2648.2112723410855
70,e,0,138.88888888888889,298.29067374018797,613.3650277308963,1505.062347726509,2527.2992984677776
71,e,0,135.13513513513513,219.3032701890001,687.7596196330036,1459.8448566595566,2531.364750049267
72,e,0,135.13513513513513,0.0,0.0,641.7553671535153,1433.7377424045812
73,e,0,138.88888888888889,22.51915835375875,590.870681536651,1441.7150207961054,2463.9432561425015
74,e,0,158.73015873015873,0.0,633.8773701072579,1392.305371445295,2580.1636522941376
75,e,0,147.05882352941177,0.0,0.0,585.6281616825562,1466.0523762917517
76,e,0,144.92753623188406,245.24898006415432,678.393517623556,1507.8298097803568,2639.452170661572
77,e,0,138.88888888888889,256.6910395144497,710.3302738086786,1469.976558985494,2614.901166613489
78,e,0,138.88888888888889,203.95623069427145,653.4540845078773,1457.3009995891684,2611.6366800662217
79,e,0,136.986301369863,165.91105381252495,597.212788343687,1408.5267210710965,2532.473667958237
80,i,0,140.8450704225352,281.4548148567217,443.41550818804956,2359.7477131772284,2751.3881547138812
81,i,0,135.13513513513513,254.8789382139904,334.257493762866,2435.663633948926,2594.8634669128855
82,i,0,136.986301369863,267.76635272458935,443.48317047405453,2350.1554944247973,2662.8521347622086
83,i,0,138.88888888888889,275.49424308621616,566.3895566155915,2334.353234246561,2627.1051285940293
84,i,0,156.25,312.8578542118267,751.2878767523011,2421.349662617816,2815.0708352244983
85,i,0,144.92753623188406,0.0,270.93621253119437,1326.0498680551318,2516.125744323789
86,i,0,142.85714285714286,0.0,279.169072731069,1046.5825630403626,2508.512466364627
87,i,0,138.88888888888889,0.0,170.78230618237686,273.30421196282276,2417.400259513409
88,i,0,138.88888888888889,268.03842617287313,302.81928309066046,2347.260068011647,2570.2685035570867
89,i,0,136.986301369863,260.1485195226593,319.7639590454728,2480.8563380894316,2548.270033496808
90,o,0,136.986301369863,0.0,0.0,518.2544271623478,965.9536013354532
91,o,0,135.13513513513513,0.0,0.0,433.32627634103204,943.3183126007272
92,o,0,138.88888888888889,0.0,0.0,491.7903094316393,962.2999160507482
93,o,0,140.8450704225352,0.0,0.0,455.61275960530156,971.97841480238
94,o,0,156.25,0.0,605.1190741926658,954.3085834531912,2477.3974300197237
95,o,0,142.85714285714286,253.17805465600094,318.335664022709,967.5575929714051,2623.2035656931057
96,o,0,138.88888888888889,258.1693370409345,907.7252046050224,1166.3111654627696,2628.1777626007765
97,o,0,136.986301369863,268.5330013695506,856.1919130335255,935.210142200197,2533.9637750330917
98,o,0,136.986301369863,154.682803315402,558.5628351631428,1111.2392082787776,2615.538438614742
99,o,0,135.13513513513513,0.0,0.0,530.2590973699872,1021.2094474791987
100,u,0,138.88888888888889,265.2695432413995,605.5225581464275,1052.0127321405153,2705.6404563446963
101,u,0,135.13513513513513,213.0719985808745,587.7960859665159,1111.3291507447532,2632.5744403149715
102,u,0,69.93006993006993,277.06318893945723,624.8206603983248,1465.3451387360592,2924.706345092524
103,u,0,140.8450704225352,284.66870715761445,666.5840743700467,1636.3995787681476,2812.1189066747556
104,u,0,151.5151515151515,305.75900638131014,630.3616783999734,1512.172103129147,2790.4088730936332
105,u,0,140.8450704225352,0.0,0.0,287.17861923831964,830.891629450701
106,u,0,138.88888888888889,270.42547975538366,838.7836160881619,1240.799556308871,2673.168385466081
107,u,0,136.986301369863,0.0,266.7292389542145,765.9272944949854,2135.8267983744845
108,u,0,136.986301369863,276.6179678053523,590.5694530791477,740.212247056272,2664.2471631268004
109,u,0,135.13513513513513,0.0,340.22078407138565,713.2047296104424,2263.7792571051464
110,y,0,138.88888888888889,0.0,0.0,348.4725956959013,1544.9104101406808
111,y,0,135.13513513513513,0.0,0.0,413.91420061713103,1489.708225103456
112,y,0,138.88888888888889,0.0,0.0,379.06288774379453,1516.3577689874394
113,y,0,140.8450704225352,0.0,0.0,366.7251083788829,1669.720752189201
114,y,0,151.5151515151515,379.104335916921,520.2327195031046,1545.582903653208,2398.429930446126
115,y,0,140.8450704225352,303.01398057605127,646.6188341168149,1541.130315773187,2541.5640756969556
116,y,0,140.8450704225352,287.54939826840496,672.2366331801824,1529.7680642516539,2524.670542446089
117,y,0,138.88888888888889,0.0,0.0,265.9709178894747,1502.0481557732332
118,y,0,138.88888888888889,235.33944910654284,525.5543578809891,1440.6052283098127,2544.0534501815005
119,y,0,135.13513513513513,230.09086013716694,619.243257500946,1665.5732171969885,2546.4681390152678
